eV,n,k
12.3,1.14,0.71
12,1.13,0.7
11.7,1.1,0.69
11.5,1.09,0.69
11.3,1.07,0.69
11.1,1.05,0.69
10.8,1.03,0.7
10.5,1.01,0.72
10.3,1,0.72
10,0.98,0.73
9.76,0.95,0.73
9.54,0.92,0.74
9.25,0.86,0.77
9.05,0.83,0.81
8.92,0.81,0.83
8.73,0.78,0.87
8.61,0.76,0.89
8.49,0.74,0.92
8.32,0.72,0.97
8.21,0.71,1
8.1,0.69,1.04
8,0.68,1.07
7.9,0.68,1.11
7.8,0.67,1.15
7.7,0.67,1.19
7.61,0.66,1.23
7.52,0.67,1.27
7.38,0.69,1.33
7.29,0.7,1.36
7.21,0.71,1.39
7.13,0.72,1.42
7.01,0.74,1.45
6.89,0.76,1.49
6.81,0.75,1.51
6.7,0.78,1.57
6.6,0.8,1.59
6.49,0.82,1.63
6.39,0.85,1.66
6.29,0.88,1.68
6.2,0.89,1.69
6.11,0.92,1.72
5.99,0.94,1.73
5.9,0.96,1.73
5.79,0.97,1.74
5.71,0.97,1.75
5.61,0.95,1.74
5.51,0.94,1.76
5.39,0.93,1.8
5.3,0.9,1.83
5.21,0.87,1.87
5.1,0.86,1.94
5,0.85,2.01
4.9,0.86,2.07
4.8,0.86,2.13
4.7,0.86,2.21
4.6,0.88,2.28
4.5,0.89,2.35
4.4,0.9,2.42
4.32,0.91,2.49
4.22,0.94,2.58
4.13,0.98,2.67
4.03,1.02,2.76
3.92,1.06,2.85
3.83,1.12,2.95
3.72,1.18,3.04
3.63,1.26,3.12
3.53,1.33,3.18
3.42,1.39,3.24
3.33,1.43,3.31
3.22,1.44,3.4
3.13,1.48,3.54
3.03,1.54,3.71
2.92,1.65,3.89
2.83,1.8,4.06
2.72,1.99,4.22
2.63,2.22,4.36
2.53,2.49,4.44
2.42,2.75,4.46
2.33,2.98,4.45
2.22,3.18,4.41
2.13,3.34,4.38
2.03,3.48,4.36
1.77,3.84,4.37
1.52,4.23,4.34
1.5,4.27,4.33
1.46,4.31,4.32
1.44,4.33,4.32
1.4,4.38,4.31
1.36,4.42,4.3
1.32,4.47,4.29
1.28,4.49,4.28
1.24,4.5,4.28
1.2,4.52,4.29
1.16,4.53,4.3
1.12,4.53,4.31
1.08,4.53,4.34
1.04,4.51,4.36
1,4.47,4.43
0.96,4.47,4.5
0.92,4.45,4.56
0.9,4.43,4.6
0.86,4.35,4.66
0.82,4.24,4.81
0.78,4.13,5.03
0.74,4.06,5.3
0.7,4.01,5.59
0.66,3.96,5.95
0.62,4.01,6.31
0.58,4.01,6.65
0.54,3.92,7.06
0.5,3.83,7.58
0.46,3.72,8.2
0.42,3.47,8.97
0.38,3.09,10.2
0.34,2.89,12
0.3,3.15,14.3
0.26,3.91,17.1
0.22,5.3,20.6
0.18,8.73,25.4
0.14,15.3,26.4
0.1,11.8,29.8
0.09,11.8,33.9
0.08,13.6,42.2
0.06,21.2,42
0.04,14.9,65.2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,